age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,age_group,race
59,Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,About right,Clinton,2,Strongly disagree,50-59 years old,White
61,Transgender,Graduate,Yes,"$40,000 ~ $59,999",About right,About right,About right,About right,NA,NA,About right,Clinton,2,NA,60-69 years old,White
33,Male,Bachelors,Yes,"Under $10,000",Too little,About right,Too much,Too little,NA,NA,About right,Clinton,2,NA,30-39 years old,White
65,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Strongly agree,60-69 years old,White
61,Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,Strongly agree,60-69 years old,White
77,Male,Bachelors,No,"$20,000 ~ $39,999",About right,About right,About right,About right,NA,NA,Too little,Trump,NA,Neither,70-79 years old,Asian
67,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Other,2,NA,60-69 years old,White
NA,Male,Graduate,Yes,"Under $10,000",Too little,Too little,Too little,Too little,NA,NA,Too little,Did not vote,NA,NA,NA,American Native
50,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,About right,About right,About right,NA,NA,Too little,Clinton,2,NA,50-59 years old,White
72,Male,Bachelors,Yes,"$60,000 ~ $89,999",About right,Too little,About right,Too little,NA,NA,About right,Clinton,2,Strongly disagree,70-79 years old,White
71,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too much,Too much,Too little,Too much,NA,NA,About right,Trump,1,Agree,70-79 years old,White
56,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Strongly disagree,50-59 years old,White
35,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Strongly disagree,30-39 years old,White
72,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,NA,70-79 years old,White
35,Male,High School,Yes,NA,NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,30-39 years old,White
28,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,3,NA,20-29 years old,White
32,Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,3,NA,30-39 years old,White
47,Female,Bachelors,Yes,"$170,000 or over",Too much,Too much,Too little,Too much,NA,NA,NA,Trump,1,Disagree,40-49 years old,White
59,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,Too little,About right,NA,NA,Too little,Trump,NA,Neither,50-59 years old,White
46,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Trump,1,Strongly disagree,40-49 years old,White
69,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,60-69 years old,White
62,Female,Graduate,Yes,"$60,000 ~ $89,999",About right,About right,About right,Too much,NA,NA,About right,Did not vote,1,Strongly disagree,60-69 years old,White
78,Female,High School,Yes,"$10,000 ~ $19,999",Too little,About right,Too little,About right,NA,NA,Too little,Trump,NA,Agree,70-79 years old,White
72,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,70-79 years old,White
71,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,2,NA,70-79 years old,White
85,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Other,2,NA,80-89 years old,White
76,Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,Disagree,70-79 years old,White
54,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,50-59 years old,White
28,Male,Bachelors,Yes,"$40,000 ~ $59,999",About right,About right,Too much,About right,NA,NA,About right,Other,2,Disagree,20-29 years old,Hispanic
77,Female,High School,Yes,Refused,About right,Too much,Too little,About right,NA,NA,Too little,Trump,NA,Strongly agree,70-79 years old,White
69,Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,1,Agree,60-69 years old,White
77,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,70-79 years old,White
60,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,NA,Strongly disagree,60-69 years old,Other
75,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,70-79 years old,White
43,Male,Associate College,Yes,"$130,000 ~ $169,999",Too much,Too much,About right,Too much,NA,NA,Too much,Trump,1,Agree,40-49 years old,White
75,Male,High School,Yes,"$20,000 ~ $39,999",Too little,About right,About right,Too much,NA,NA,About right,Trump,1,NA,70-79 years old,White
76,Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,3,Strongly disagree,70-79 years old,White
31,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Other,3,NA,30-39 years old,White
47,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Neither,40-49 years old,White
48,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,3,NA,40-49 years old,White
38,Female,Graduate,Yes,NA,Too little,About right,Too little,Too much,NA,NA,About right,Trump,2,NA,30-39 years old,White
23,Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,1,Strongly disagree,20-29 years old,Other
31,Female,Graduate,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Neither,30-39 years old,White
47,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,NA,40-49 years old,Other
89,Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,Strongly agree,80-89 years old,White
60,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,NA,60-69 years old,White
62,Male,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,60-69 years old,White
60,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,Too much,About right,Trump,1,NA,60-69 years old,White
73,Female,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,Disagree,70-79 years old,White
67,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,60-69 years old,White
55,Male,Graduate,Yes,"Under $10,000",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Strongly disagree,50-59 years old,White
70,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,NA,70-79 years old,White
NA,Female,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,About right,Trump,NA,NA,NA,White
32,Male,Graduate,Yes,"$40,000 ~ $59,999",Too much,Too little,Too little,Too much,NA,NA,Too much,Other,2,NA,30-39 years old,White
42,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,About right,About right,Too much,NA,NA,Too much,Trump,NA,Neither,40-49 years old,White
68,Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,About right,About right,Too little,NA,NA,About right,Trump,2,Strongly agree,60-69 years old,White
70,Male,Graduate,Yes,"$90,000 ~ $129,999",Too much,About right,About right,Too much,NA,NA,About right,Trump,1,NA,70-79 years old,White
67,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,Too much,NA,NA,Too little,Clinton,NA,Neither,60-69 years old,Black
89,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,80-89 years old,White
49,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,Agree,40-49 years old,White
57,Male,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,50-59 years old,White
68,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too little,Too little,NA,NA,About right,Other,1,Neither,60-69 years old,White
65,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,1,Agree,60-69 years old,White
NA,Female,Less than high school,Yes,"$10,000 ~ $19,999",About right,Too much,Too little,About right,NA,NA,Too little,Trump,1,Agree,NA,White
58,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,1,NA,50-59 years old,White
NA,NA,High School,Yes,"$130,000 ~ $169,999",Too much,Too much,About right,Too much,NA,NA,Too little,Trump,NA,NA,NA,White
67,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,60-69 years old,White
55,Female,Associate College,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Did not vote,2,NA,50-59 years old,White
57,Female,Associate College,Yes,"$10,000 ~ $19,999",About right,About right,Too little,About right,NA,NA,Too little,Clinton,NA,Agree,50-59 years old,White
NA,NA,Bachelors,NA,Refused,Too little,NA,Too little,About right,NA,NA,About right,Trump,NA,NA,NA,White
55,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,Agree,50-59 years old,White
27,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,Too much,Too much,Clinton,NA,NA,20-29 years old,White
81,Female,High School,Yes,"$40,000 ~ $59,999",About right,About right,About right,Too much,NA,NA,About right,Clinton,NA,Agree,80-89 years old,White
57,Female,High School,Yes,"$40,000 ~ $59,999",About right,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,50-59 years old,White
51,Female,High School,Yes,"$10,000 ~ $19,999",Too much,Too much,Too little,Too much,NA,NA,Too little,Trump,NA,Strongly agree,50-59 years old,White
65,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,60-69 years old,White
79,Male,High School,Yes,NA,Too much,Too much,Too little,Too much,NA,NA,About right,Trump,1,NA,70-79 years old,White
73,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Disagree,70-79 years old,White
68,Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,Too little,Too little,NA,NA,Too little,Clinton,NA,Neither,60-69 years old,Black
35,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too much,About right,Too much,Too much,NA,NA,About right,Trump,1,Agree,30-39 years old,White
64,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,Disagree,60-69 years old,Black
62,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too little,Too much,NA,NA,Too little,Clinton,1,Neither,60-69 years old,Black
43,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too much,Too much,Too much,NA,NA,Too little,Trump,1,NA,40-49 years old,White
30,Female,Associate College,Yes,"$60,000 ~ $89,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,30-39 years old,White
57,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,50-59 years old,White
62,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Trump,1,NA,60-69 years old,White
41,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too little,About right,Clinton,1,Agree,40-49 years old,Black
89,Male,Less than high school,Yes,NA,Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,2,Neither,80-89 years old,Black
53,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,50-59 years old,White
73,Female,High School,Yes,"$10,000 ~ $19,999",About right,Too much,Too little,Too much,NA,NA,Too little,Trump,NA,Agree,70-79 years old,White
NA,Male,High School,Yes,Refused,NA,NA,NA,NA,Too little,Too much,About right,Other,NA,Strongly agree,NA,White
85,Male,High School,No,"$10,000 ~ $19,999",About right,About right,About right,About right,NA,NA,About right,Trump,NA,Neither,80-89 years old,White
69,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,60-69 years old,White
70,Male,High School,Yes,"$20,000 ~ $39,999",Too little,About right,About right,About right,NA,NA,Too little,Trump,NA,Strongly agree,70-79 years old,White
52,Male,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Other,NA,NA,50-59 years old,White
NA,Female,Bachelors,No,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too little,About right,Clinton,NA,NA,NA,White
66,Male,High School,Yes,"$40,000 ~ $59,999",Too little,About right,About right,Too much,NA,NA,About right,Other,2,NA,60-69 years old,White
63,Male,Graduate,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,60-69 years old,White
67,Female,High School,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Agree,60-69 years old,White
NA,Female,Graduate,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,NA,White
64,Male,Graduate,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Strongly disagree,60-69 years old,White
80,Female,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,2,Strongly disagree,80-89 years old,White
71,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Strongly disagree,70-79 years old,White
40,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,40-49 years old,White
48,Male,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,40-49 years old,White
27,Male,Bachelors,Yes,"$170,000 or over",Too little,NA,Too little,Too much,NA,NA,Too little,Trump,1,NA,20-29 years old,White
44,Male,High School,Yes,NA,Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,NA,NA,40-49 years old,White
25,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,20-29 years old,White
37,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,30-39 years old,White
55,Female,Bachelors,Yes,"$170,000 or over",About right,About right,About right,Too much,NA,NA,Too much,Trump,1,Agree,50-59 years old,White
NA,Male,Graduate,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,NA,White
81,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Did not vote,NA,NA,80-89 years old,White
46,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,NA,Strongly disagree,40-49 years old,White
71,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,Disagree,70-79 years old,White
66,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,60-69 years old,White
71,Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Disagree,70-79 years old,White
NA,Male,Graduate,No,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,NA,Asian
56,Male,Bachelors,Yes,"$170,000 or over",Too little,About right,About right,About right,NA,NA,About right,Trump,1,NA,50-59 years old,White
49,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,NA,40-49 years old,White
74,Male,Graduate,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,3,Disagree,70-79 years old,White
63,Male,High School,No,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Disagree,60-69 years old,Hispanic
27,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Other,1,NA,20-29 years old,White
69,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,NA,60-69 years old,White
NA,Male,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Did not vote,2,NA,NA,White
47,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,40-49 years old,White
71,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Neither,70-79 years old,White
35,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,Too little,Too much,NA,NA,Too little,Clinton,1,Neither,30-39 years old,White
NA,Female,Bachelors,No,"$170,000 or over",About right,About right,Too much,Too much,NA,NA,Too little,Clinton,1,NA,NA,White
80,Female,High School,Yes,"$130,000 ~ $169,999",Too little,Too little,Too little,About right,NA,NA,Too little,Clinton,NA,Neither,80-89 years old,White
NA,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,NA,NA,White
61,Male,Bachelors,No,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,NA,Clinton,3,NA,60-69 years old,Other
57,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,1,Strongly disagree,50-59 years old,White
73,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,About right,About right,Trump,2,Disagree,70-79 years old,White
58,Male,Associate College,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Other,1,NA,50-59 years old,White
61,Male,Less than high school,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,60-69 years old,Other
35,Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,About right,Trump,NA,NA,30-39 years old,White
58,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,Too little,Clinton,2,NA,50-59 years old,White
55,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,NA,Disagree,50-59 years old,Other
36,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Neither,30-39 years old,White
31,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,30-39 years old,White
62,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,60-69 years old,White
62,Male,Graduate,Yes,"$10,000 ~ $19,999",Too much,About right,Too much,Too much,NA,NA,About right,Other,NA,Neither,60-69 years old,White
40,Female,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,40-49 years old,White
45,Female,Graduate,No,"$170,000 or over",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Disagree,40-49 years old,White
75,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,Agree,70-79 years old,White
74,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,70-79 years old,White
51,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,50-59 years old,White
89,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too much,About right,Too much,Too much,NA,NA,Too much,Trump,2,NA,80-89 years old,White
71,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,NA,NA,70-79 years old,White
71,Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,About right,Too little,About right,NA,NA,Too little,Trump,2,Neither,70-79 years old,White
58,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too little,Clinton,1,Disagree,50-59 years old,White
51,Female,Graduate,No,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Strongly disagree,50-59 years old,White
51,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,50-59 years old,White
NA,Female,High School,Yes,NA,About right,About right,About right,About right,NA,NA,About right,Trump,1,NA,NA,White
42,Male,High School,No,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,40-49 years old,Black
64,Male,High School,Yes,"$90,000 ~ $129,999",Too little,About right,About right,Too much,NA,NA,Too little,Trump,1,Agree,60-69 years old,White
73,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Disagree,70-79 years old,Black
82,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,80-89 years old,White
55,Male,High School,No,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,50-59 years old,Asian
40,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,40-49 years old,Black
33,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too much,Clinton,2,Neither,30-39 years old,White
82,Male,Graduate,Yes,"$90,000 ~ $129,999",Too much,Too much,About right,Too much,NA,NA,Too little,Trump,1,NA,80-89 years old,White
58,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,NA,50-59 years old,White
41,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,About right,About right,Clinton,1,NA,40-49 years old,White
38,Female,High School,Yes,"$20,000 ~ $39,999",About right,Too little,Too little,About right,NA,NA,About right,Clinton,2,Disagree,30-39 years old,Black
63,Male,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,60-69 years old,White
73,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Other,2,NA,70-79 years old,White
74,Female,Graduate,Yes,"$90,000 ~ $129,999",About right,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Neither,70-79 years old,White
62,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too much,Too much,About right,Trump,1,NA,60-69 years old,White
51,Female,Bachelors,No,"$90,000 ~ $129,999",Too little,About right,About right,About right,NA,NA,Too little,Trump,1,NA,50-59 years old,White
58,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Trump,1,Neither,50-59 years old,White
29,Female,Associate College,Yes,NA,NA,NA,NA,NA,About right,About right,About right,Clinton,2,NA,20-29 years old,White
64,Male,Bachelors,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,60-69 years old,Other
77,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,70-79 years old,White
54,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,Neither,50-59 years old,White
76,Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,About right,About right,About right,NA,NA,About right,Trump,NA,Disagree,70-79 years old,White
59,Male,Graduate,No,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,50-59 years old,Asian
47,Female,Bachelors,No,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Disagree,40-49 years old,Asian
53,Male,Bachelors,No,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,Disagree,50-59 years old,Asian
58,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too little,About right,NA,NA,About right,Clinton,1,NA,50-59 years old,White
61,Female,Bachelors,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,60-69 years old,Asian
64,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too much,NA,NA,About right,Trump,NA,NA,60-69 years old,White
68,Female,Less than high school,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,Agree,60-69 years old,NA
61,Female,Less than high school,No,"Under $10,000",About right,About right,About right,About right,NA,NA,About right,Clinton,NA,Neither,60-69 years old,Black
36,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,30-39 years old,Black
56,Male,Bachelors,No,Refused,About right,Too little,Too little,Too little,NA,NA,Too little,Trump,1,NA,50-59 years old,White
33,Male,Bachelors,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Strongly disagree,30-39 years old,White
33,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,30-39 years old,Asian
23,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,20-29 years old,White
NA,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,1,NA,NA,White
29,Male,Bachelors,Yes,"$170,000 or over",Too little,About right,About right,Too little,NA,NA,About right,Clinton,2,Strongly disagree,20-29 years old,White
NA,Male,Bachelors,No,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,NA,Hispanic
NA,Male,Graduate,No,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,NA,White
46,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,40-49 years old,Black
50,Female,High School,No,"$90,000 ~ $129,999",Too little,Too little,About right,Too much,NA,NA,Too little,Trump,1,NA,50-59 years old,White
25,Female,Less than high school,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,About right,Clinton,NA,NA,20-29 years old,Other
54,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,50-59 years old,Black
27,Female,Associate College,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Neither,20-29 years old,White
38,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,30-39 years old,White
68,Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Disagree,60-69 years old,White
